organisation_name,campus_name,service_name,region_name,email,phone,website,notes,expected_wait_time,opening_hours_24_7,opening_hours_standard,opening_hours_extended,op_hours_extended_details,address,suburb,state,postcode,cost,delivery_method,level_of_care,referral_pathway,service_type,target_population,workforce_type
ACU Psychology Clinic,Fitzroy,ACU Psychology Clinic,"Greater Melbourne, North Western Melbourne",melbournepsychologyclinic@acu.edu.au,(03) 9953 3006,https://www.acu.edu.au/about-acu/faculties-directorates-and-staff/faculty-of-health-sciences/facilities-and-services/psychology-clinics,,Not applicable,No,Yes,No,"Monday - Thursday, 9am - 5pm","The Daniel Mannix Building, n Catholic University, Level 5. 17 Young Street",Fitzroy,VIC,3065,"Free, Paid","In person, Online","Low intensity, Moderate intensity, Self management",,Primary and specialised clinical ambulatory mental health care services,"Adult, Children, Families, Young People",Tertiary qualified
ADHD Support Australia,Online,ADHD Support Australia,Statewide,vivian@adhdsupportaustralia.com.au,,https://www.adhdsupportaustralia.com.au/what-is-adhd/adult-adhd/,,Not applicable,Yes,Yes,No,online and workshops,online,,,,"Free, Paid",Online,Self management,General bookings,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Peer worker, Tertiary qualified"
Aged persons Mental Health Unit (APMHU),Broadmeadows,Aged persons Mental Health Unit (APMHU),North Western Melbourne,,1300 874 243,Intensive Community Treatment for Older People | NorthWestern Mental Health (nwmh.org.au),,Not applicable,Yes,Yes,Yes,,"Royal Melbourne Hospital, Royal Park Campus, Building 5, Level 1, 34-54 Poplar Road",Parkville,VIC,3052,N/A,In person,"High intensity, Moderate intensity",Free call,Specialised bed-based mental health care services,"Adult, Older Adults","Medical, Tertiary qualified"
All Psychiatry,Online,All Psychiatry,Statewide,admin@allpsychiatry.com.au,390990500,https://allpsychiatry.com.au/about-us/,,No timeframe,No,Yes,No,,PO Box - 4160,Knox City Centre,VIC,3152,Paid,Online,"High intensity, Low intensity, Moderate intensity",,"Medications and procedures, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,"Medical, Tertiary qualified"
Amaze,Richmond,Amaze,Statewide,info@amaze.org.au,(03) 9657 1600,https://www.amaze.org.au/autismconnect/,,Not applicable,No,Yes,No,,678 Victoria St,Richmond,VIC,3121,"Free, Paid","In person, Online","High intensity, Moderate intensity, Specialist",,"Medications and procedures, Mental health promotion, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Children, Families, Young People",Tertiary qualified
Anglicare Victoria,Box Hill,Breaking the Cycle - Adolsecent Violence in the Home,Greater Melbourne,Adolescent Violence in the Home - Anglicare Victoria,03 9896 6322,Adolescent Violence in the Home - Anglicare Victoria,,Not applicable,No,No,No,Contact Anglicare Box Hill for info on when sessions are run.,37-41 Prospect Street,Box Hill,VIC,3128,Free,In person,"Low intensity, Self management",General bookings,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Peer worker, Tertiary qualified"
Anglicare Victoria,Broadmeadows,ParentZone,North Western Melbourne,parentzone.northern@anglicarevic.org.au,03 8641 8900,ParentZone - Anglicare Victoria,,Not applicable,No,Yes,Yes,Extended hours may occur once enrolled in a program,"Broadmeadows Women's Community House, 2 Hadfield Court",Broadmeadows,VIC,3047,Free,"In person, Online","Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,"Peer worker, Tertiary qualified, Vocationally qualified"
Anglicare Victoria,Mickleham North Community Centre,Anglicare Victoria | Tuning in to Kids | Parentzone,North Western Melbourne,parentzone.northern@anglicarevic.org.au,03 8641 8900,Tuning in to Kids for Professionals | Home,,No timeframe,No,No,No,"Tuesday 10am - 12pm, contact ParentZone Northern for when the next program will run","Mickleham North Community Centre: 82-90 St Georges Blvd,",Mickleham North,,,Free,In person,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services",Families,Peer worker
Anxiety Recovery Centre Victoria,Surrey Hills,Anxiety Recovery Centre Victoria,Statewide,"admin@arcvic.org.au, admin@arcvic.org.au","03 9830 0566, 03 9830 0566","www.arcvic.org.au, www.arcvic.org.au",,Not applicable,No,No,No,"Helpline operates Monday - Friday, 10am to 7pm","171 Union Road,",Surrey Hills,VIC,3127,Paid,"In person, Online","Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
ANZAED,Online,ANZAED,Statewide,connect·ed - ANZAED Eating Disorder Credential - Contact us,+61 404 389 660,connect·ed - ANZAED Eating Disorder Credential - Find a Treatment Provider,"The service directory is free to access, but services found withinthe directory can be paid",Not applicable,Yes,Yes,Yes,"Online service directory of professionals providing treatment for eating disorders. While the directory is available 24/7, treatment providers may require wait times and only be available during standard hours.",PO Box 4154,Castlecrag,NSW,2068,Free,Online,Self management,Free call,"Mental health promotion, Mental illness prevention","Culturally and Linguistically Diverse, Specialised Services",Tertiary qualified
APMHA Healthcare,Online,APMHA Healthcare,North Western Melbourne,admin@apmhahealthcare.com.au,1300 514 811,,,Not applicable,No,Yes,No,,"PO Box 2335, Footscray",Vic,VIC,,Free,"In person, Online, Outreach","Low intensity, Moderate intensity",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Culturally and Linguistically Diverse, LGBTQIA+, Specialised Services",Tertiary qualified
Ask Izzy,Footscray,Ask Izzy,Statewide,,,Ask Izzy,"The service directory is free to access, but services found withinthe directory can be paid",Not applicable,Yes,Yes,Yes,"Service directory, accessible for anywhere with Optus or Telstra coverage. Services listed in the directory are not necessarily available 24/7, opening times provided within the Ask Izzy website.",,,,,Free,Online,Self management,Free call,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Aspect Clinic,Olinda,Aspect Clinic,Statewide,hello@aspectclinic.com.au,0397510282,http://aspectclinic.com.au/,,Not applicable,No,Yes,No,,31 Monash Ave,Olinda,VIC,3788,Paid,In person,"Low intensity, Moderate intensity",,"Medications and procedures, Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Asylum Seekers Resource Centre,Footscray,Asylum Seekers Resource Centre,Statewide,admin@asrc.org.au,03 9326 6066,"https://asrc.org.au/, https://asrc.org.au/",,Not applicable,No,No,No,,214-218 Nicholson St,Footscray,VIC,3011,Free,"In person, Online, Outreach","Low intensity, Moderate intensity, Self management, Specialist",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Culturally and Linguistically Diverse, Families",Tertiary qualified
Austin Health,Austin Hospital,Psychiatric Triage Service,Greater Melbourne,,1300859789,https://www.austin.org.au,Nilimbik and Banyule areas,Not applicable,Yes,Yes,Yes,,145 Studley road,Heidelberg,VIC,3084,Free,"In person, Online, Outreach","High intensity, Moderate intensity, Specialist",Free call,Primary and specialised clinical ambulatory mental health care services,"Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Australian Centre for Grief and Bereavement,Mulgrave,Australian Centre for Grief and Bereavement,Statewide,info@grief.org.au,+61 3 9265 2100,https://www.grief.org.au/,"* Please note, fees are waived nationally for clients seeking bereavement support resulting from COVID-19 related deaths.",Not applicable,No,Yes,No,,253 Wellington Road,Mulgrave,VIC,3170,Paid,Online,"High intensity, Moderate intensity","General bookings, Varies depending on service ","Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Peer worker, Tertiary qualified"
Australian Centre for Grief and Bereavement,Mulgrave,Australian Centre for Grief and Bereavement,Statewide,info@grief.org.au,61392652100,https://www.grief.org.au/,,Not applicable,No,Yes,No,,253 Wellington Road,Mulgrave,VIC,3170,"Free, Paid","In person, Online","Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Australian Childhood Foundation,Mitcham,The Child Trauma Service,Greater Melbourne,support@childhood.org.au,1300 381 581,https://www.childhood.org.au/our-work/,,Not applicable,No,Yes,No,Limited details about hours of this particular service.,579 Whitehorse Road,Mitcham,VIC,3132,Free,In person,"High intensity, Moderate intensity",,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Children, Families, Young People",
Australian Psychology Society,Online,Find a Psychologist,Statewide,No email available but email contact form available on https://psychology.org.au/about-us/contact-us,1800 333 497,https://psychology.org.au/find-a-psychologist,The directory is free to use but counsellors listed may not provide free services.,Not applicable,Yes,Yes,Yes,Online directory - can be accessed 24/7. Office hours are 8.45am to 5.15pm (AEDT) Monday to Friday,"Level 11, 257 Collins Street",Melbourne,VIC,3000,Free,"In person, Online",Self management,Varies depending on service ,"Mental health promotion, Mental illness prevention","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",Tertiary qualified
Australian Red Cross,Online,Migrant Support,Statewide,vicinfo@redcross.org.au,1800 733 276,https://www.redcross.org.au/migration/,,Not applicable,No,No,No,Unknown hours,GPO Box 9949,Melbourne,VIC,3001,Free,Online,Self management,,"Mental health promotion, Mental illness prevention","Culturally and Linguistically Diverse, Specialised Services",
Autism Partnership Australia,North Melbourne,Autism Partnership Australia,North Western Melbourne,reception@autismpartnership.com.au,1300 227 981,http://www.autismpartnership.com.au/,,Yes (but no timeframe),No,Yes,No,,27-31 Munster Terrace,North Melbourne,VIC,3051,Paid,In person,"Low intensity, Moderate intensity",,"Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Children, Families, Specialised Services",Tertiary qualified
Berry Street,Eaglemont,Family Violence Services,Statewide,CAFVS@berrystreet.org.au,03 9450 4700,Family violence services for Melbourne's northern… | Berry Street,,No timeframe,No,Yes,No,,677 The Blvd,Eaglemont,VIC,3084,Free,"In person, Outreach","Low intensity, Moderate intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Adult, Children, Families, Specialised Services, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
Better Place Australia,Broadmeadows,Children and youth counselling,North Western Melbourne,enquiry@betterplace.com.au,1800639523,Children and youth counselling | Better Place Australia,,Not applicable,No,Yes,Yes,Open until 8pm Wednesdays,"Unit B1, 1-13 The Gateway Broadmeadows",Broadmeadows,VIC,3047,Paid,"In person, Online","High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Children, Young People","Medical, Tertiary qualified"
Better Place Australia,Broadmeadows,Counselling for individuals,North Western Melbourne,enquiry@betterplace.com.au,1800639524,Counselling for individuals | Better Place Australia,,Not applicable,No,Yes,No,Open until 8pm Wednesdays,"Unit B1, 1-13 The Gateway Broadmeadows",Broadmeadows,VIC,3047,Paid,"In person, Online","High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Better Place Australia,Broadmeadows,Counselling for men,North Western Melbourne,enquiry@betterplace.com.au,1800639524,Counselling for individuals | Better Place Australia,,Not applicable,No,Yes,No,Open until 8pm Wednesdays,"Unit B1, 1-13 The Gateway Broadmeadows",Broadmeadows,VIC,3047,Paid,"In person, Online","High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Better Place Australia,Melton,Children and youth counselling,North Western Melbourne,enquiry@betterplace.com.au,1800639523,Children and youth counselling | Better Place Australia,,Not applicable,No,No,No,"Only open 9-5 Wednesday, Thursday and Friday",195 Barries Rd,Melton West,VIC,3337,Paid,"In person, Online","High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Children, Young People","Medical, Tertiary qualified"
Better Place Australia,Melton,Counselling for individuals,North Western Melbourne,enquiry@betterplace.com.au,1800639524,Counselling for individuals | Better Place Australia,,Not applicable,No,No,No,"Only open 9-5 Wednesday, Thursday and Friday",195 Barries Rd,Melton West,VIC,3337,Paid,"In person, Online","High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Better Place Australia,Melton,Counselling for men,North Western Melbourne,enquiry@betterplace.com.au,1800639524,Counselling for individuals | Better Place Australia,,Not applicable,No,No,No,"Only open 9-5 Wednesday, Thursday and Friday",195 Barries Rd,Melton West,VIC,3337,Paid,"In person, Online","High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Better Place Australia,Wyndham Vale,Children and youth counselling,North Western Melbourne,enquiry@betterplace.com.au,1800639523,Children and youth counselling | Better Place Australia,,Not applicable,No,Yes,Yes,Open until 8pm Thursdays,510 Ballan Rd,Wyndham Vale,VIC,3024,Paid,"In person, Online","High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Children, Young People","Medical, Tertiary qualified"
Better Place Australia,Wyndham Vale,Counselling for individuals,North Western Melbourne,enquiry@betterplace.com.au,1800639524,Counselling for individuals | Better Place Australia,,Not applicable,No,Yes,Yes,Open until 8pm Thursdays,510 Ballan Rd,Wyndham Vale,VIC,3024,Paid,"In person, Online","High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Better Place Australia,Wyndham Vale,Counselling for men,North Western Melbourne,enquiry@betterplace.com.au,1800639524,Counselling for individuals | Better Place Australia,,Not applicable,No,Yes,Yes,Open until 8pm Thursdays,510 Ballan Rd,Wyndham Vale,VIC,3024,Paid,"In person, Online","High intensity, Low intensity, Moderate intensity",Doctor/GP referral,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Medical, Tertiary qualified"
Beyond Blue,Online,Beyond Blue,Statewide,,,,"Waittimes: There may be a wait before a counsellor is available.
Due to demand, Beyond Blue is experiencing extended wait times for our Webchat support service.
Our busiest times are Sunday and Monday night, where the wait time for a counsellor can exceed 15 minutes.",Less than a week,No,No,No,,,,,,Free,Online,"Low intensity, Moderate intensity, Self management",Free call,"Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People","Peer worker, Tertiary qualified, Vocationally qualified"
Bite Back,Online,Bite Back,Statewide,eMH@blackdog.org.au,,BITE BACK,"Bite Back does not provide online, email or telephone
counselling and only checks email between 9am -
5pm AEST Monday to Friday (excluding public holidays).",No timeframe,Yes,No,No,,NSW,,,,Free,Online,Self management,Varies depending on service ,"Mental health promotion, Mental illness prevention",Young People,
Black Dog Insitute,Online,Mental Health Online Tools and Apps,Statewide,blackdog@blackdog.org.au,(02) 9382 4530,Mental health online tools and apps - Black Dog Institute,"Previously operated myCompass mental health service, which was in initial list",No timeframe,No,Yes,No,,"Black Dog Institute, Hospital Road, Prince of Wales Hospital",Randwick,NSW,2031,Free,Online,"Low intensity, Moderate intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services","Aboriginal and Torres Strait Islander, Adult, AOD, Children, Culturally and Linguistically Diverse, Families, Homeless, Hospital, LGBTQIA+, Older Adults, Specialised Services, Young People",
Blueknot,Online,Helpline and Redress Support Service,Statewide,helpline@blueknot.org.au,1300 657 380,https://blueknot.org.au/survivors-supporters/blue-knot-helpline-redress-support-service/,,No timeframe,No,Yes,Yes,"Hours: 7 days a week, 9am-5pm AEST/AEDT",PO Box 597 Milsons Point,Milsons Point,NSW,1565,Free,Online,"Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,
Blueknot,Online,National Counselling and Referral Service - Disability,Statewide,ncrscounsellors@blueknot.org.au,1800 421 468,https://blueknot.org.au/national-counselling-referral-service-disability/,,No timeframe,No,Yes,Yes,"Hours: 9am to 6pm AEST/AEDT Monday to Friday and 9am to 5pm AEST/AEDT Saturday, Sunday and public holidays.",PO Box 597 Milsons Point,,NSW,1566,Free,Online,"Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,
Body Image Eating Disorders Treatment and Recovery Service (BETRS),Austin Hospital,Body Image Eating Disorders Treatment and Recovery Service (BETRS),"Greater Melbourne, North Western Melbourne",betrs@svha.org.au,(+61 3) 9231 5717,https://www.svhm.org.au/our-services/departments-and-services/b/body-image-eating-disorders-treatment-and-recovery-service-betrs,,Less than 3 months,Yes,Yes,Yes,"Clinical Intake Service only operates Monday, Wednesday and Friday between 9.30 and 11.30am and is the first point of contact for anyone wanting to refer themselves or others to the service, however inpatient services are 24/7",145 Studley Road,Heidelberg,VIC,3084,Free,In person,"High intensity, Specialist",,Specialised bed-based mental health care services,Homeless,"Medical, Tertiary qualified"
BRAVE Program,Online,BRAVE Program,Statewide,"brave4you@psy.uq.edu.au, brave4you@psy.uq.edu.au",,"https://www.brave-online.com/,  https://www.brave-online.com/",,Not applicable,Yes,No,No,,,,,,Free,Online,Self management,,"Mental health promotion, Mental illness prevention","Children, Families, Young People",
breakthru,Broadmeadows,breakthru,Statewide,,1800 767 212,"https://breakthru.org.au/?utm_source=GMB&utm_medium=organic&utm_campaign=Broadmeadows, https://breakthru.org.au/?utm_source=GMB&utm_medium=organic&utm_campaign=Broadmeadows",,Not applicable,No,Yes,No,,61 Riggall St,Broadmeadows,VIC,3047,Free,"In person, Outreach","Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified, Vocationally qualified"
breakthru,Melton,breakthru,Statewide,"breakthru.org.au, N/A",1800 767 212,"https://breakthru.org.au/?utm_source=GMB&utm_medium=organic&utm_campaign=Melton, https://breakthru.org.au/?utm_source=GMB&utm_medium=organic&utm_campaign=Melton",,Not applicable,No,Yes,No,,"Melton Library & Learning Hub, 31 McKenzie Street",Melton,VIC,3337,Free,"In person, Outreach","Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified, Vocationally qualified"
breakthru,St Albans,breakthru,Statewide,stalbans@breakthru.org.au,1800 767 212,"https://breakthru.org.au/?utm_source=GMB&utm_medium=organic&utm_campaign=St-Albans, https://breakthru.org.au/?utm_source=GMB&utm_medium=organic&utm_campaign=St-Albans, https://breakthru.org.au/?utm_source=GMB&utm_medium=organic&utm_campaign=St-Albans, https://breakthru.org.au/?utm_source=GMB&utm_medium=organic&utm_campaign=St-Albans",,Not applicable,No,Yes,No,,1 Andrea St,St Albans,VIC,3012,Free,"In person, Outreach","Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, Adult, Culturally and Linguistically Diverse, Families, Specialised Services","Peer worker, Tertiary qualified, Vocationally qualified"
Broadmeadows Women’s Community House,Broadmeadows,Anglicare Victoria,North Western Melbourne,,93015250,Broadmeadows Women’s Community House - Anglicare Victoria,,No timeframe,No,Yes,No,,2 Hadfield Ct,Broadmeadows,VIC,3047,Free,In person,"High intensity, Low intensity, Moderate intensity",Free call,"Mental health promotion, Mental illness prevention, Specialised mental health community support services","Culturally and Linguistically Diverse, Families",Tertiary qualified
Bunjilwarra Koori,Bunjilwarra,Healing Centre,Greater Melbourne,info@bunjilwarra.org.au,(03) 5979 2011,http://bunjilwarra.org.au/,,Not applicable,No,No,No,,Hastings,Hastings,VIC,3915,Free,In person,High intensity,,Specialised mental health community support services,Aboriginal and Torres Strait Islander,
Bunjilwarra Koori,Bunjilwarra,Youth Alcohol and Drug Healing Service,Statewide,info@bunjilwarra.org.au,(03) 5979 2011,Bunjilwarra - Koori Youth Alcohol and Drug Healing Service - Victoria | Just another WordPress site,,Less than a week,Yes,Yes,Yes,Extended hours only for residents,Confidential,,,,N/A,In person,Specialist,General bookings,"Specialised bed-based mental health care services, Specialised mental health community support services","Aboriginal and Torres Strait Islander, AOD, Young People","Medical, Peer worker, Vocationally qualified"
Butterfly,Online,Eating Disorder Helpline,Statewide,support@butterfly.org.au,1800 33 4673,https://butterfly.org.au/get-support/helpline/,,Less than a week,No,Yes,Yes,"8am-12am, 7 days a week",112/17 Lynch Street,Hawthorn,VIC,3122,Free,Online,"Low intensity, Self management",Free call,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,Tertiary qualified
Butterfly,Online,Eating Disorder Support Groups,Statewide,support@butterfly.org.au,0474 004 443,Recovery support groups - Butterfly Foundation,,Less than a month,No,No,Yes,"Recovery support groups are 1 hour long and typically held outside of work hours, check the website or call to find info on the next available session",112/17 Lynch Street,Hawthorn,VIC,3122,Free,Online,"Low intensity, Self management",,"Mental health promotion, Mental illness prevention, Primary and specialised clinical ambulatory mental health care services",Specialised Services,Peer worker
